nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116201,756102,América
Colombia,51874024,1141748,América
México,128932753,1964375,América
Japón,125800000,377975,Asia
China,1412600000,9596960,Asia
India,1393409038,3287263,Asia
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,47351567,505990,Europa
Italia,60317116,301340,Europa
Nigeria,211400708,923768,África
Sudáfrica,60041994,1219090,África
Egipto,104258327,1001449,África
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
